"id","date","lon","lat","esi_daily_avg","observed","esi_daily_avg_5","esi_daily_avg_10","esi_daily_avg_20"
3,2020-07-05,90.37,23.81,-1.26478814865862,0,-1.3341722499047,-1.40355635115079,-1.54232455364295
3,2020-07-06,90.37,23.81,-1.23703450816018,0,-1.30641860940627,-1.37580271065235,-1.51457091314452
3,2020-07-07,90.37,23.81,-1.20928086766175,0,-1.27866496890783,-1.34804907015392,-1.48681727264609
3,2020-07-08,90.37,23.81,-1.18152722716331,0,-1.2509113284094,-1.32029542965548,-1.45906363214765
3,2020-07-09,90.37,23.81,-1.15377358666488,0,-1.22315768791097,-1.29254178915705,-1.43130999164922
3,2020-07-10,90.37,23.81,-1.12601994616645,0,-1.19540404741253,-1.26478814865862,-1.40355635115079
3,2020-07-11,90.37,23.81,-1.09826630566801,0,-1.1676504069141,-1.23703450816018,-1.37580271065235
3,2020-07-12,90.37,23.81,-1.07051266516958,0,-1.13989676641566,-1.20928086766175,-1.34804907015392
3,2020-07-13,90.37,23.81,-1.04275902467115,0,-1.11214312591723,-1.18152722716331,-1.32029542965548
3,2020-07-14,90.37,23.81,-1.01500538417271,0,-1.0843894854188,-1.15377358666488,-1.29254178915705
3,2020-07-15,90.37,23.81,-0.987251743674278,0,-1.05663584492036,-1.12601994616645,-1.26478814865862
3,2020-07-16,90.37,23.81,-0.959498103175844,0,-1.02888220442193,-1.09826630566801,-1.23703450816018
3,2020-07-17,90.37,23.81,-0.931744462677411,0,-1.0011285639235,-1.07051266516958,-1.20928086766175
3,2020-07-18,90.37,23.81,-0.903990822178977,0,-0.973374923425061,-1.04275902467115,-1.18152722716331
3,2020-07-19,90.37,23.81,-0.876237181680543,0,-0.945621282926628,-1.01500538417271,-1.15377358666488
3,2020-07-20,90.37,23.81,-0.848483541182109,0,-0.917867642428194,-0.987251743674278,-1.12601994616645
3,2020-07-21,90.37,23.81,-0.820729900683675,0,-0.89011400192976,-0.959498103175844,-1.09826630566801
3,2020-07-22,90.37,23.81,-0.792976260185242,0,-0.862360361431326,-0.931744462677411,-1.07051266516958
3,2020-07-23,90.37,23.81,-0.765222619686808,0,-0.834606720932892,-0.903990822178977,-1.04275902467115
3,2020-07-24,90.37,23.81,-0.737468979188374,0,-0.806853080434459,-0.876237181680543,-1.01500538417271
3,2020-07-25,90.37,23.81,-0.70971533868994,0,-0.779099439936025,-0.848483541182109,-0.987251743674278
3,2020-07-26,90.37,23.81,-0.681961698191506,0,-0.751345799437591,-0.820729900683675,-0.959498103175844
3,2020-07-27,90.37,23.81,-0.654208057693073,0,-0.723592158939157,-0.792976260185242,-0.931744462677411
3,2020-07-28,90.37,23.81,-0.626454417194639,0,-0.695838518440723,-0.765222619686808,-0.903990822178977
3,2020-07-29,90.37,23.81,-0.598700776696205,0,-0.66808487794229,-0.737468979188374,-0.876237181680543
3,2020-07-30,90.37,23.81,-0.570947136197771,0,-0.640331237443856,-0.70971533868994,-0.848483541182109
3,2020-07-31,90.37,23.81,-0.543193495699338,0,-0.612577596945422,-0.681961698191506,-0.820729900683675
3,2020-08-01,90.37,23.81,-0.515439855200904,0,-0.584823956446988,-0.654208057693073,-0.792976260185242
